"Notes","State","State Code","Year","Year Code",Deaths,Population,Crude Rate
,"Oregon","41","2015","2015",609,4028977,15.115
,"Oregon","41","2016","2016",651,4093465,15.903
,"Oregon","41","2017","2017",676,4142776,16.318
,"Oregon","41","2018","2018",678,4190713,16.179
"Total","Oregon","41",,,10605,75455911,14.055
,"Pennsylvania","42","1999","1999",1049,12263805,8.554
,"Pennsylvania","42","2000","2000",1215,12281054,9.893
,"Pennsylvania","42","2001","2001",1021,12298970,8.302
,"Pennsylvania","42","2002","2002",1159,12331031,9.399
,"Pennsylvania","42","2003","2003",1441,12374658,11.645
,"Pennsylvania","42","2004","2004",1600,12410722,12.892
,"Pennsylvania","42","2005","2005",1680,12449990,13.494
,"Pennsylvania","42","2006","2006",1834,12510809,14.659
,"Pennsylvania","42","2007","2007",1812,12563937,14.422
,"Pennsylvania","42","2008","2008",1898,12612285,15.049
,"Pennsylvania","42","2009","2009",1983,12666858,15.655
,"Pennsylvania","42","2010","2010",1980,12702379,15.588
,"Pennsylvania","42","2011","2011",2342,12742886,18.379
,"Pennsylvania","42","2012","2012",2459,12763536,19.266
,"Pennsylvania","42","2013","2013",2525,12773801,19.767
,"Pennsylvania","42","2014","2014",2829,12787209,22.124
,"Pennsylvania","42","2015","2015",3376,12802503,26.370
,"Pennsylvania","42","2016","2016",4762,12784227,37.249
,"Pennsylvania","42","2017","2017",5495,12805537,42.911
,"Pennsylvania","42","2018","2018",4535,12807060,35.410
"Total","Pennsylvania","42",,,46995,251733257,18.669
,"Rhode Island","44","1999","1999",61,1040402,5.863
,"Rhode Island","44","2000","2000",76,1048319,7.250
,"Rhode Island","44","2001","2001",116,1057142,10.973
,"Rhode Island","44","2002","2002",112,1065995,10.507
,"Rhode Island","44","2003","2003",157,1071342,14.655
,"Rhode Island","44","2004","2004",109,1074579,10.144
,"Rhode Island","44","2005","2005",163,1067916,15.263
,"Rhode Island","44","2006","2006",179,1063096,16.838
,"Rhode Island","44","2007","2007",142,1057315,13.430
,"Rhode Island","44","2008","2008",193,1055003,18.294
,"Rhode Island","44","2009","2009",168,1053646,15.945
,"Rhode Island","44","2010","2010",176,1052567,16.721
,"Rhode Island","44","2011","2011",193,1051302,18.358
,"Rhode Island","44","2012","2012",201,1050292,19.138
,"Rhode Island","44","2013","2013",252,1051511,23.966
,"Rhode Island","44","2014","2014",253,1055173,23.977
,"Rhode Island","44","2015","2015",318,1056298,30.105
,"Rhode Island","44","2016","2016",330,1056426,31.237
,"Rhode Island","44","2017","2017",322,1059639,30.388
,"Rhode Island","44","2018","2018",328,1057315,31.022
"Total","Rhode Island","44",,,3849,21145278,18.203
,"South Carolina","45","1999","1999",168,3974682,4.227
,"South Carolina","45","2000","2000",289,4012012,7.203
,"South Carolina","45","2001","2001",265,4064995,6.519
,"South Carolina","45","2002","2002",238,4107795,5.794
,"South Carolina","45","2003","2003",310,4150297,7.469
,"South Carolina","45","2004","2004",383,4210921,9.095
,"South Carolina","45","2005","2005",486,4270150,11.381
,"South Carolina","45","2006","2006",641,4357847,14.709
,"South Carolina","45","2007","2007",584,4444110,13.141
,"South Carolina","45","2008","2008",588,4528996,12.983
,"South Carolina","45","2009","2009",631,4589872,13.748
,"South Carolina","45","2010","2010",697,4625364,15.069
,"South Carolina","45","2011","2011",641,4679230,13.699
,"South Carolina","45","2012","2012",611,4723723,12.935
,"South Carolina","45","2013","2013",648,4774839,13.571
,"South Carolina","45","2014","2014",726,4832482,15.023
,"South Carolina","45","2015","2015",793,4896146,16.196
,"South Carolina","45","2016","2016",927,4961119,18.685
,"South Carolina","45","2017","2017",1052,5024369,20.938
,"South Carolina","45","2018","2018",1195,5084127,23.505
"Total","South Carolina","45",,,11873,90313076,13.146
,"South Dakota","46","1999","1999",20,750412,2.665
,"South Dakota","46","2000","2000",25,754844,3.312
,"South Dakota","46","2001","2001",25,757972,3.298
,"South Dakota","46","2002","2002",24,760020,3.158
,"South Dakota","46","2003","2003",25,763729,3.273
,"South Dakota","46","2004","2004",51,770396,6.620
,"South Dakota","46","2005","2005",47,775493,6.061
,"South Dakota","46","2006","2006",43,783033,5.491
,"South Dakota","46","2007","2007",34,791623,4.295
,"South Dakota","46","2008","2008",57,799124,7.133
,"South Dakota","46","2009","2009",51,807067,6.319
,"South Dakota","46","2010","2010",48,814180,5.896
,"South Dakota","46","2011","2011",60,824082,7.281
,"South Dakota","46","2012","2012",45,833354,5.400
,"South Dakota","46","2013","2013",57,844877,6.747
,"South Dakota","46","2014","2014",70,853175,8.205
,"South Dakota","46","2015","2015",72,858469,8.387
,"South Dakota","46","2016","2016",75,865454,8.666
,"South Dakota","46","2017","2017",81,869666,9.314
,"South Dakota","46","2018","2018",59,882235,6.688
"Total","South Dakota","46",,,969,16159205,5.997
,"Tennessee","47","1999","1999",374,5638706,6.633
,"Tennessee","47","2000","2000",426,5689283,7.488
,"Tennessee","47","2001","2001",469,5750789,8.155
,"Tennessee","47","2002","2002",524,5795918,9.041
,"Tennessee","47","2003","2003",713,5847812,12.193
,"Tennessee","47","2004","2004",822,5910809,13.907
,"Tennessee","47","2005","2005",936,5991057,15.623
,"Tennessee","47","2006","2006",1030,6088766,16.916
,"Tennessee","47","2007","2007",1035,6175727,16.759
,"Tennessee","47","2008","2008",977,6247411,15.638
,"Tennessee","47","2009","2009",1000,6306019,15.858
,"Tennessee","47","2010","2010",1132,6346105,17.838
,"Tennessee","47","2011","2011",1123,6403353,17.538
,"Tennessee","47","2012","2012",1221,6456243,18.912
,"Tennessee","47","2013","2013",1284,6495978,19.766
,"Tennessee","47","2014","2014",1330,6549352,20.307
,"Tennessee","47","2015","2015",1546,6600299,23.423
,"Tennessee","47","2016","2016",1740,6651194,26.161
,"Tennessee","47","2017","2017",1898,6715984,28.261
,"Tennessee","47","2018","2018",1950,6770010,28.804
"Total","Tennessee","47",,,21530,124430815,17.303
,"Texas","48","1999","1999",1250,20558220,6.080
,"Texas","48","2000","2000",1211,20851820,5.808
,"Texas","48","2001","2001",1522,21319622,7.139
,"Texas","48","2002","2002",1780,21690325,8.206
,"Texas","48","2003","2003",1985,22030931,9.010
,"Texas","48","2004","2004",2039,22394023,9.105
,"Texas","48","2005","2005",2152,22778123,9.448
,"Texas","48","2006","2006",2452,23359580,10.497
,"Texas","48","2007","2007",2343,23831983,9.831
,"Texas","48","2008","2008",2199,24309039,9.046
,"Texas","48","2009","2009",2509,24801761,10.116
,"Texas","48","2010","2010",2492,25145561,9.910
,"Texas","48","2011","2011",2690,25674681,10.477
,"Texas","48","2012","2012",2546,26059203,9.770
,"Texas","48","2013","2013",2606,26448193,9.853
,"Texas","48","2014","2014",2727,26956958,10.116
,"Texas","48","2015","2015",2732,27469114,9.946
,"Texas","48","2016","2016",2965,27862596,10.642
,"Texas","48","2017","2017",3120,28304596,11.023
,"Texas","48","2018","2018",3163,28701845,11.020
"Total","Texas","48",,,46483,490548174,9.476
,"Utah","49","1999","1999",212,2203482,9.621
,"Utah","49","2000","2000",224,2233169,10.031
,"Utah","49","2001","2001",216,2283715,9.458
,"Utah","49","2002","2002",300,2324815,12.904
,"Utah","49","2003","2003",368,2360137,15.592
,"Utah","49","2004","2004",411,2401580,17.114
,"Utah","49","2005","2005",481,2457719,19.571
,"Utah","49","2006","2006",481,2525507,19.046
,"Utah","49","2007","2007",546,2597746,21.018
,"Utah","49","2008","2008",483,2663029,18.137
,"Utah","49","2009","2009",508,2723421,18.653
,"Utah","49","2010","2010",457,2763885,16.535
,"Utah","49","2011","2011",520,2817222,18.458
,"Utah","49","2012","2012",612,2855287,21.434
,"Utah","49","2013","2013",612,2900872,21.097
,"Utah","49","2014","2014",617,2942902,20.966
,"Utah","49","2015","2015",667,2995919,22.264
,"Utah","49","2016","2016",685,3051217,22.450
,"Utah","49","2017","2017",691,3101833,22.277
,"Utah","49","2018","2018",676,3161105,21.385
"Total","Utah","49",,,9767,53364562,18.302
,"Vermont","50","1999","1999",31,604683,5.127
,"Vermont","50","2000","2000",37,608827,6.077
,"Vermont","50","2001","2001",53,612223,8.657
,"Vermont","50","2002","2002",54,615442,8.774
,"Vermont","50","2003","2003",73,617858,11.815
,"Vermont","50","2004","2004",52,619920,8.388
,"Vermont","50","2005","2005",55,621215,8.854
,"Vermont","50","2006","2006",83,622892,13.325
,"Vermont","50","2007","2007",68,623481,10.907
,"Vermont","50","2008","2008",76,624151,12.177
,"Vermont","50","2009","2009",57,624817,9.123
,"Vermont","50","2010","2010",68,625741,10.867
,"Vermont","50","2011","2011",87,626431,13.888
,"Vermont","50","2012","2012",81,626011,12.939
,"Vermont","50","2013","2013",99,626630,15.799
,"Vermont","50","2014","2014",90,626562,14.364
,"Vermont","50","2015","2015",111,626042,17.730
,"Vermont","50","2016","2016",131,624594,20.974
,"Vermont","50","2017","2017",145,623657,23.250
,"Vermont","50","2018","2018",161,626299,25.707
"Total","Vermont","50",,,1612,12427476,12.971
,"Virginia","51","1999","1999",391,7000174,5.586
,"Virginia","51","2000","2000",441,7078515,6.230
,"Virginia","51","2001","2001",503,7198362,6.988
,"Virginia","51","2002","2002",527,7286873,7.232
,"Virginia","51","2003","2003",580,7366977,7.873
,"Virginia","51","2004","2004",595,7475575,7.959
,"Virginia","51","2005","2005",617,7577105,8.143
,"Virginia","51","2006","2006",670,7673725,8.731
,"Virginia","51","2007","2007",713,7751000,9.199
,"Virginia","51","2008","2008",730,7833496,9.319
,"Virginia","51","2009","2009",700,7925937,8.832
,"Virginia","51","2010","2010",571,8001024,7.137
,"Virginia","51","2011","2011",817,8096604,10.091
,"Virginia","51","2012","2012",755,8185867,9.223
,"Virginia","51","2013","2013",890,8260405,10.774
,"Virginia","51","2014","2014",1002,8326289,12.034
,"Virginia","51","2015","2015",1070,8382993,12.764
,"Virginia","51","2016","2016",1444,8411808,17.166
,"Virginia","51","2017","2017",1558,8470020,18.394
,"Virginia","51","2018","2018",1502,8517685,17.634
"Total","Virginia","51",,,16076,156820434,10.251
,"Washington","53","1999","1999",596,5842564,10.201
,"Washington","53","2000","2000",599,5894121,10.163
,"Washington","53","2001","2001",547,5985722,9.138
,"Washington","53","2002","2002",694,6052349,11.467
,"Washington","53","2003","2003",752,6104115,12.320
