payor_plan_id,payor_plan,payor_plan_var
24290595,AARP MED PDP GENERAL (NY),
24290596,AARP MED PDP GENERAL (OH),
24290597,AARP MED PDP GENERAL (OK),
24290598,AARP MED PDP GENERAL (OR),
24290599,AARP MED PDP GENERAL (PA),
24290600,AARP MED PDP GENERAL (PR),
24290601,AARP MED PDP GENERAL (RI),
24290602,AARP MED PDP GENERAL (SC),
24290603,AARP MED PDP GENERAL (SD),
24290604,AARP MED PDP GENERAL (TN),
24290605,AARP MED PDP GENERAL (TX),
24290606,AARP MED PDP GENERAL (UT),
24290607,AARP MED PDP GENERAL (VA),
24290608,AARP MED PDP GENERAL (VI),
24290609,AARP MED PDP GENERAL (VT),
24290610,AARP MED PDP GENERAL (WA),
24290611,AARP MED PDP GENERAL (WI),
24290612,AARP MED PDP GENERAL (WV),
24290613,AARP MED PDP GENERAL (WY),
15700114,AARP PRESCRIPTION DISC PROGRAM,
15709999,AARP UNSPECIFIED,
7003020005,ABARCA HEALTH PLAN 0005,
7003020006,ABARCA HEALTH PLAN 0006,
7003020007,ABARCA HEALTH PLAN 0007,
7003020010,ABARCA HEALTH PLAN 0010,
7003020001,ABARCA HEALTH (PROC-UNSP),
14800001,ABB INC,
14100001,ABBOTT LABORATORIES,
14100002,ABBOTT LABORATORIES RETIREES,
37740001,ABBVIE,
33550001,ABERCROMBIE AND FITCH,
29730001,ABF FREIGHT SYSTEM INC,
13670152,ABILIFY/BMS/OTSUKA,
12370002,ABILITYCARE (MN),
29860001,ABINGTON MEM HOSPITAL (PA),
20520001,ABN AMRO HOLDING N V,
17030001,ABRI HEALTH PLAN (WI),
9650112,ABSOLUTE TOTAL CARE MMP (SC),
9650014,ABSOLUTE TOTAL CARE (SC),
40340001,ABT ELECTRONICS,
42750001,ACAA (PR),
13670236,ACANYA/VALEANT,
45890001,ACCENTURE LLP,
13870001,ACCESS ADMINISTRATORS INC,
5350008,ACCESS ADV MED ADV GNRL (CO),
5350002,ACCESS ADV SUMMIT PLAN (CO),
11570157,ACCESS CARE II PPO(PA),
23740001,ACCESS DUPAGE (IL),
5350001,ACCESS HEALTH PLAN (CO),
5350009,ACCESS HLTH-ENHD CARE (CO),
32920004,ACCESS MEDICARE MED ADV GNRL(NY),
11650001,ACCESS PLUS HMO (CA),
32720001,ACCESS TO CARE (IL),
34950003,ACCIDENT FUND (MI),
25080001,ACCOR NORTH AMERICA,
13670027,ACCU-CHEK METER/ROCHE,
10870001,ACE HARDWARE CORPORATION,
14650001,ACE INA HOLDINGS INC,
42150001,ACELITY,
31820001,ACH FOOD COMPANIES INC,
33250002,ACHIA HRP (AK),
